temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,city,country,date,year,month
9.6,-2.9,2.1,0.0,12.2,New York,USA,2000-01-01,2000,1
14.5,0.7,7.2,0.0,18.1,New York,USA,2000-01-02,2000,1
15.7,10.3,11.6,1.1,17.1,New York,USA,2000-01-03,2000,1
15.8,9.1,13.0,16.2,24.3,New York,USA,2000-01-04,2000,1
8.2,-2.8,2.5,3.2,25.0,New York,USA,2000-01-05,2000,1
5.0,-4.6,-0.3,0.0,13.8,New York,USA,2000-01-06,2000,1
7.9,-1.9,2.0,0.0,21.8,New York,USA,2000-01-07,2000,1
3.5,-4.0,-0.3,0.0,13.1,New York,USA,2000-01-08,2000,1
9.6,0.1,4.2,0.0,14.1,New York,USA,2000-01-09,2000,1
11.9,3.2,7.0,16.5,26.8,New York,USA,2000-01-10,2000,1
10.6,3.7,6.8,0.3,30.7,New York,USA,2000-01-11,2000,1
6.9,-0.4,3.4,0.0,24.5,New York,USA,2000-01-12,2000,1
1.8,-7.3,-0.5,6.1,26.0,New York,USA,2000-01-13,2000,1
-5.1,-10.3,-8.0,0.0,30.3,New York,USA,2000-01-14,2000,1
-3.4,-9.3,-6.6,0.0,16.4,New York,USA,2000-01-15,2000,1
6.8,-4.7,0.9,0.0,29.3,New York,USA,2000-01-16,2000,1
-6.0,-14.8,-11.4,0.0,31.2,New York,USA,2000-01-17,2000,1
-6.6,-15.6,-11.2,0.0,18.2,New York,USA,2000-01-18,2000,1
-2.0,-11.3,-7.1,0.0,12.7,New York,USA,2000-01-19,2000,1
-0.6,-6.6,-3.9,3.6,19.1,New York,USA,2000-01-20,2000,1
-5.9,-13.0,-9.7,0.0,35.1,New York,USA,2000-01-21,2000,1
-6.6,-14.6,-11.1,0.0,24.5,New York,USA,2000-01-22,2000,1
-1.0,-8.8,-5.1,0.0,11.2,New York,USA,2000-01-23,2000,1
3.5,-4.2,-1.6,0.0,11.4,New York,USA,2000-01-24,2000,1
-2.4,-3.7,-3.0,21.4,33.6,New York,USA,2000-01-25,2000,1
-1.9,-8.5,-4.8,2.1,25.1,New York,USA,2000-01-26,2000,1
-8.7,-13.8,-10.8,0.0,22.0,New York,USA,2000-01-27,2000,1
-7.1,-15.2,-11.9,0.0,21.9,New York,USA,2000-01-28,2000,1
-1.4,-16.2,-9.6,0.0,11.8,New York,USA,2000-01-29,2000,1
0.4,-11.1,-5.2,9.3,17.3,New York,USA,2000-01-30,2000,1
5.0,-5.5,-0.3,12.0,24.1,New York,USA,2000-01-31,2000,1
0.1,-7.0,-3.9,0.0,20.5,New York,USA,2000-02-01,2000,2
-3.1,-8.3,-5.7,0.0,28.0,New York,USA,2000-02-02,2000,2
-1.3,-10.8,-5.9,0.9,13.1,New York,USA,2000-02-03,2000,2
0.5,-6.2,-2.7,0.6,9.2,New York,USA,2000-02-04,2000,2
-0.2,-5.6,-3.1,0.0,18.2,New York,USA,2000-02-05,2000,2
0.2,-7.2,-4.1,0.0,18.7,New York,USA,2000-02-06,2000,2
3.8,-7.4,-1.3,0.0,22.2,New York,USA,2000-02-07,2000,2
-2.4,-12.7,-7.4,0.0,14.4,New York,USA,2000-02-08,2000,2
6.0,-9.8,-2.5,0.0,19.6,New York,USA,2000-02-09,2000,2
5.8,-2.8,1.2,0.0,10.5,New York,USA,2000-02-10,2000,2
7.2,-2.2,2.6,0.7,20.9,New York,USA,2000-02-11,2000,2
-0.8,-7.4,-3.7,0.0,20.4,New York,USA,2000-02-12,2000,2
3.2,-4.6,-0.6,0.0,14.7,New York,USA,2000-02-13,2000,2
10.8,2.8,6.4,15.5,29.2,New York,USA,2000-02-14,2000,2
4.8,-2.5,0.5,0.0,22.9,New York,USA,2000-02-15,2000,2
10.7,-3.4,3.1,0.9,16.7,New York,USA,2000-02-16,2000,2
1.5,-4.7,-1.9,0.0,20.6,New York,USA,2000-02-17,2000,2
1.5,-4.7,-0.7,16.9,18.5,New York,USA,2000-02-18,2000,2
0.7,-1.7,-0.5,10.4,12.7,New York,USA,2000-02-19,2000,2
2.6,-6.4,-1.6,0.0,19.1,New York,USA,2000-02-20,2000,2
4.1,-7.7,-2.0,0.0,11.9,New York,USA,2000-02-21,2000,2
7.1,-3.5,1.0,0.0,11.8,New York,USA,2000-02-22,2000,2
11.2,-2.5,4.0,0.0,10.7,New York,USA,2000-02-23,2000,2
17.1,1.0,8.5,0.0,11.5,New York,USA,2000-02-24,2000,2
12.1,3.8,7.0,5.9,16.0,New York,USA,2000-02-25,2000,2
8.0,2.8,5.0,0.4,15.0,New York,USA,2000-02-26,2000,2
13.8,4.5,8.4,0.0,21.6,New York,USA,2000-02-27,2000,2
11.2,3.4,8.0,7.6,24.9,New York,USA,2000-02-28,2000,2
11.7,0.3,5.0,0.0,23.2,New York,USA,2000-02-29,2000,2
9.2,-0.6,3.8,0.5,13.3,New York,USA,2000-03-01,2000,3
7.7,1.2,4.9,0.2,25.9,New York,USA,2000-03-02,2000,3
7.7,-0.4,2.9,0.0,27.1,New York,USA,2000-03-03,2000,3
10.1,-0.9,3.8,0.0,17.6,New York,USA,2000-03-04,2000,3
11.2,0.0,5.2,0.0,22.7,New York,USA,2000-03-05,2000,3
11.1,-0.2,4.8,0.0,19.6,New York,USA,2000-03-06,2000,3
16.0,-0.8,7.3,0.0,14.8,New York,USA,2000-03-07,2000,3
14.8,3.1,9.0,0.4,14.7,New York,USA,2000-03-08,2000,3
21.9,5.3,12.9,0.2,12.7,New York,USA,2000-03-09,2000,3
14.5,6.0,10.9,0.0,16.8,New York,USA,2000-03-10,2000,3
7.2,4.1,5.4,19.8,24.1,New York,USA,2000-03-11,2000,3
10.0,1.5,7.0,9.1,24.8,New York,USA,2000-03-12,2000,3
8.2,-1.2,3.3,0.0,19.1,New York,USA,2000-03-13,2000,3
11.1,0.3,5.4,0.2,17.4,New York,USA,2000-03-14,2000,3
17.2,1.4,8.7,0.2,20.3,New York,USA,2000-03-15,2000,3
17.7,7.7,12.1,3.9,15.7,New York,USA,2000-03-16,2000,3
10.8,-0.9,4.2,25.6,27.3,New York,USA,2000-03-17,2000,3
2.4,-5.1,-1.5,0.0,21.6,New York,USA,2000-03-18,2000,3
4.2,-2.3,0.9,0.0,12.8,New York,USA,2000-03-19,2000,3
6.6,0.5,3.1,0.0,17.7,New York,USA,2000-03-20,2000,3
6.4,3.0,4.4,0.0,22.5,New York,USA,2000-03-21,2000,3
9.0,2.9,5.4,0.0,20.4,New York,USA,2000-03-22,2000,3
15.0,-0.3,6.5,0.0,8.6,New York,USA,2000-03-23,2000,3
17.7,3.8,10.3,0.0,11.5,New York,USA,2000-03-24,2000,3
16.7,4.0,10.8,0.4,16.0,New York,USA,2000-03-25,2000,3
16.1,7.7,12.3,1.1,22.9,New York,USA,2000-03-26,2000,3
14.5,2.1,9.1,0.1,21.2,New York,USA,2000-03-27,2000,3
14.1,8.3,11.1,12.6,25.8,New York,USA,2000-03-28,2000,3
11.9,4.8,8.5,0.0,32.6,New York,USA,2000-03-29,2000,3
12.4,2.4,7.6,0.0,19.1,New York,USA,2000-03-30,2000,3
12.4,0.4,6.8,0.0,15.6,New York,USA,2000-03-31,2000,3
15.7,1.5,8.5,0.0,12.7,New York,USA,2000-04-01,2000,4
17.1,5.4,11.2,0.0,18.9,New York,USA,2000-04-02,2000,4
18.0,10.2,14.1,0.0,12.2,New York,USA,2000-04-03,2000,4
16.9,10.9,14.5,5.2,25.8,New York,USA,2000-04-04,2000,4
9.9,3.8,6.8,0.0,30.3,New York,USA,2000-04-05,2000,4
19.2,1.2,10.6,0.6,19.9,New York,USA,2000-04-06,2000,4
16.0,4.8,10.6,0.0,15.5,New York,USA,2000-04-07,2000,4
20.3,8.5,14.3,0.5,30.2,New York,USA,2000-04-08,2000,4
10.6,-0.5,4.1,18.4,39.6,New York,USA,2000-04-09,2000,4
10.9,0.7,5.2,0.5,25.1,New York,USA,2000-04-10,2000,4
8.5,1.0,5.0,1.2,13.6,New York,USA,2000-04-11,2000,4
10.1,3.4,6.6,1.0,24.4,New York,USA,2000-04-12,2000,4
8.9,-0.4,4.4,0.0,13.0,New York,USA,2000-04-13,2000,4
11.5,1.2,6.7,0.0,14.9,New York,USA,2000-04-14,2000,4
16.2,5.3,10.9,5.0,8.8,New York,USA,2000-04-15,2000,4
23.3,11.5,16.1,6.4,16.9,New York,USA,2000-04-16,2000,4
12.2,5.0,8.2,7.0,22.7,New York,USA,2000-04-17,2000,4
6.5,4.6,5.4,6.8,25.3,New York,USA,2000-04-18,2000,4
13.5,5.7,8.6,1.5,21.4,New York,USA,2000-04-19,2000,4
15.7,6.3,10.2,0.0,13.3,New York,USA,2000-04-20,2000,4
10.5,7.9,9.1,29.8,24.6,New York,USA,2000-04-21,2000,4
10.8,6.8,8.5,6.5,20.3,New York,USA,2000-04-22,2000,4
9.8,6.2,7.8,1.7,19.4,New York,USA,2000-04-23,2000,4
18.7,5.7,11.7,0.0,18.9,New York,USA,2000-04-24,2000,4
13.2,6.1,8.8,0.0,19.5,New York,USA,2000-04-25,2000,4
8.0,4.3,6.2,0.1,20.1,New York,USA,2000-04-26,2000,4
10.7,2.9,6.7,0.0,9.7,New York,USA,2000-04-27,2000,4
14.0,3.2,8.9,0.1,10.7,New York,USA,2000-04-28,2000,4
17.5,4.5,11.0,0.0,17.0,New York,USA,2000-04-29,2000,4
16.5,8.3,11.8,0.0,23.6,New York,USA,2000-04-30,2000,4
16.5,5.5,11.6,0.6,19.9,New York,USA,2000-05-01,2000,5
17.8,9.2,13.8,7.5,21.9,New York,USA,2000-05-02,2000,5
16.6,6.0,11.5,0.0,14.9,New York,USA,2000-05-03,2000,5
19.0,7.4,13.5,0.6,19.1,New York,USA,2000-05-04,2000,5
28.1,12.5,19.6,2.3,13.0,New York,USA,2000-05-05,2000,5
28.6,15.1,22.2,0.0,10.1,New York,USA,2000-05-06,2000,5
30.8,16.7,24.0,0.0,14.7,New York,USA,2000-05-07,2000,5
30.6,17.3,24.0,0.7,10.3,New York,USA,2000-05-08,2000,5
30.9,19.7,25.0,0.0,20.0,New York,USA,2000-05-09,2000,5
22.4,12.9,16.2,5.1,25.1,New York,USA,2000-05-10,2000,5
21.9,12.4,16.9,0.0,22.7,New York,USA,2000-05-11,2000,5
18.6,13.7,15.9,1.9,18.2,New York,USA,2000-05-12,2000,5
22.6,13.1,16.5,16.1,15.0,New York,USA,2000-05-13,2000,5
21.7,12.8,17.0,3.0,18.7,New York,USA,2000-05-14,2000,5
17.1,9.6,13.8,0.0,20.4,New York,USA,2000-05-15,2000,5
19.0,8.0,13.9,0.0,13.4,New York,USA,2000-05-16,2000,5
19.5,12.9,15.8,0.0,15.5,New York,USA,2000-05-17,2000,5
25.7,12.9,19.4,7.0,25.1,New York,USA,2000-05-18,2000,5
18.6,9.8,13.1,6.3,21.3,New York,USA,2000-05-19,2000,5
11.3,8.7,10.0,4.7,14.0,New York,USA,2000-05-20,2000,5
13.0,10.8,11.9,1.5,8.4,New York,USA,2000-05-21,2000,5
14.4,10.8,12.3,3.5,13.0,New York,USA,2000-05-22,2000,5
18.5,10.4,13.9,2.6,18.5,New York,USA,2000-05-23,2000,5
25.1,12.9,18.4,11.9,18.2,New York,USA,2000-05-24,2000,5
22.5,13.7,18.5,1.3,26.0,New York,USA,2000-05-25,2000,5
22.6,12.5,17.1,0.0,19.2,New York,USA,2000-05-26,2000,5
19.6,10.4,15.3,0.0,16.3,New York,USA,2000-05-27,2000,5
18.5,11.3,14.9,0.0,13.8,New York,USA,2000-05-28,2000,5
16.9,11.6,14.2,0.0,16.4,New York,USA,2000-05-29,2000,5
15.9,10.9,12.8,0.0,15.3,New York,USA,2000-05-30,2000,5
19.4,9.5,14.3,0.0,9.8,New York,USA,2000-05-31,2000,5
27.5,13.2,20.4,0.0,10.5,New York,USA,2000-06-01,2000,6
